td_client_id,street,city,state,time
73961d59-9b0b-4f7e-8543-0eaf0d47e961,Bonner,Trenton,NJ,1554347001
20ece3b7-67fa-4df0-9334-6c6e790ca85f,Menomonie,Modesto,CA,1554347001
fccf1608-39df-4071-87ea-5662eddfefe3,Basil,Waco,TX,1554347001
9ece7641-4a26-4c33-848b-b94ef1ea8a05,Stephen,Portland,OR,1554347001
d5c7f919-b1f6-498c-844a-e6e39562e71d,Lakewood Gardens,Oakland,CA,1554347001
cc282dc3-bce8-49f7-83e1-48f261b406fa,Rowland,Saginaw,MI,1554347001
1d739a52-7d8a-4658-b32e-dd9f3b770365,Grover,Brooklyn,NY,1554347001
1c891b6e-71f4-43a5-b937-cd12ddc0c97b,Lighthouse Bay,Orange,CA,1554347001
2ed7aa94-b3ab-499b-a98d-2168d2765ac0,Grayhawk,Mc Keesport,PA,1554347001
162ba6a0-b793-45b7-a582-5ae0ef4558c3,8th,Cincinnati,OH,1554347001
c98d7850-2b0f-454d-921a-198f3cced4ed,Cottonwood,Las Vegas,NV,1554347001
50fc67f3-e370-4bd0-a9df-6a75783dba10,Beilfuss,Muskegon,MI,1554347001
fcb1cb3d-ff00-4b43-a101-f0e242e2b41e,Becker,Atlanta,GA,1554347001
a9b7c9a2-92e4-4d40-8b81-e680b8cceb42,Rutledge,Billings,MT,1554347001
0547277a-c97f-4249-a86a-c0cbdd32278a,Ridge Oak,Nashville,TN,1554347001
200c91c7-1f66-4a4c-b73f-89949c75cda0,Arapahoe,New Haven,CT,1554347001
dcd89878-801f-407c-a106-f48a68b3603c,Ronald Regan,Huntington,WV,1554347001
6d517387-234a-456a-8c77-3f89949c75cd,Ryan,Spokane,WA,1554347001
dd36620e-4023-418b-ad92-7bbac96fa893,Pepper Wood,Ventura,CA,1554347001
6bc3829e-df7d-4a0e-c1ea-a54c34a82056,Cordelia,Saint Petersburg,FL,1554347001
3bfe0620-7952-44e5-fb29-19872f0ddf1c,Lunder,Miami,FL,1554347001
d31a7e98-301b-4653-9222-9167d0a7e61b,Meadow Valley,Des Moines,IA,1554347001
f07c6f26-885e-43a5-aa4c-773f89949c75,Oriole,Columbia,MO,1554347001
78f20f55-559d-483b-a7f5-5191c0c2ff96,Cambridge,Odessa,TX,1554347001
5973f081-159f-49cf-9364-e079a73eed41,Northwestern,Albany,GA,1554347001
ce2f0c0a-74f7-485e-ac0e-61451955def2,Blue Bill Park,Sandy,UT,1554347001
b258eec9-9aa1-4817-bf5a-7eb9cc3dfb35,Old Gate,Little Rock,AR,1554347001
7781d3cd-8472-4b07-a059-be5b34048982,Main,Port Charlotte,FL,1554347001
b9ab1ba6-cf11-484e-b9ed-a76fd11c8ad7,Lukken,Monroe,LA,1554347001
2d412faf-fba4-41b9-91ca-07f70c15fe1d,Homewood,Loretto,MN,1554347001
a434f7d6-3bb4-4e3f-9539-e874ab007d9f,Reindahl,Whittier,CA,1554347001
f974f5ac-54c8-4848-9475-522d653349b1,Southridge,Sacramento,CA,1554347001
5bc2ab6c-43fa-4171-f037-50bea59cdee6,Elmside,Little Rock,AR,1554347001
daebffc6-885e-43a5-aa4c-773f89949c75,Leroy,Charleston,WV,1554347001
4f11a35d-7953-4931-f188-8305278f08d7,Lyons,Bronx,NY,1554347001
1eae8bbb-1a70-44d2-851b-d20c3cf0c629,Granby,San Diego,CA,1554347001
21f478e1-11ec-47dd-a40a-2f5165b6b43d,Sunfield,Los Angeles,CA,1554347001
412afe1d-9c6d-45bc-e0a6-324a598cb52e,Donald,Roanoke,VA,1554347001
050067ba-f82d-4905-83d7-36c5b859b840,Hanson,Arvada,CO,1554347001
976c767d-0195-4223-f8ee-82b990d5856d,Glendale,Dallas,TX,1554347001
a41769b4-fb58-4d60-8f6e-7788f53bfe10,Colorado,Charleston,WV,1554347001
9d3f477d-b8ef-4ce2-ea2c-f3466fb3392b,Alpine,Minneapolis,MN,1554347001
85837efc-02ec-434f-a0a8-9140c0bf5b01,Anderson,Manassas,VA,1554347001
30ac838d-650d-4411-b146-3b6a1284b618,Anniversary,San Francisco,CA,1554347001
085e1f18-d9f3-406c-9767-28f9cf9fb013,Eastlawn,Washington,DC,1554347001
74e8db3a-ee2c-4655-b140-f75839d44193,North,Rochester,NY,1554347001
26c4c556-e99b-44f6-9009-9498d98fac8e,Bay,Metairie,LA,1554347001
1155fe7d-034a-4166-bdce-787aa0283b3a,Cody,Louisville,KY,1554347001
df51e1d0-250a-4f43-b869-4d49d58b6eeb,Fairfield,Charleston,WV,1554347001
414ff713-9f71-4b23-84d1-6ccd7d06272f,Prairie Rose,Milwaukee,WI,1554347001
3d222d16-1c2c-4d14-9744-2153ab74c030,Grayhawk,Young America,MN,1554347001
ef80ff30-61aa-4de6-8b4a-6d792f3cef3a,Sachtjen,Panama City,FL,1554347001
7d6938b7-7e4a-46c2-fd34-4b802ad8b5bf,Bayside,San Bernardino,CA,1554347001
facbe6c3-885e-43a5-aa4c-773f89949c75,Lerdahl,Tacoma,WA,1554347001
4af5062f-9f39-4655-a47f-b7ec0b858b4d,Muir,Tampa,FL,1554347001
f5b3ef51-38f4-46dc-928f-80bbbdafc425,High Crossing,Cleveland,OH,1554347001
30c0f378-526f-410c-b7b7-cbabcce29b52,Lotheville,El Paso,TX,1554347001
e0fe3e88-1a2b-4446-8d6d-06744b2d8e2f,Johnson,Vienna,VA,1554347001
2378fab4-1b9b-41f6-b4bc-50c003eb3c7a,Coolidge,Boston,MA,1554347001
c7cd1583-f92f-4937-8a5e-ac1743076674,Prairieview,Worcester,MA,1554347001
56f19882-2b4f-4090-807b-22fbdb92e6db,Mockingbird,Green Bay,WI,1554347001
1f833ec4-4647-4f2a-a64c-8442db91cbe5,Anniversary,Kalamazoo,MI,1554347001
0aecd796-daf4-4aa3-a02c-e5d8970f7069,Eastwood,Saint Louis,MO,1554347001
3ce40ee9-6747-4047-9130-6c99e1689100,Continental,New York City,NY,1554347001
a643afa9-d405-4f1d-bf1c-0098e25b81d3,Muir,Atlanta,GA,1554347001
e7cd2557-b767-46c9-9c2c-14482123b7b9,Sloan,Saint Paul,MN,1554347001
64e31299-6898-435a-8c56-38aa731dcd1c,Sunnyside,Charleston,WV,1554347001
faa88085-b726-4ddd-9047-7e034e9d7ab8,Lillian,Baton Rouge,LA,1554347001
c2c23d67-1421-472a-840f-8d439c4bbf79,Mendota,San Diego,CA,1554347001
f267ffb2-9c77-4965-9fb6-c34374675fd6,East,San Diego,CA,1554347001
a53d9756-2f7f-4c1a-af3a-250959c3a7e4,East,Fort Worth,TX,1554347001
80fe081f-0875-4b27-85d4-31d2245a95bd,Brown,Des Moines,IA,1554347001
ef67e0e4-cf0f-4085-bb14-b64944909c7a,Summit,Fayetteville,NC,1554347001
f47ef8cb-54f3-4598-a6d2-a72ec834df2b,Texas,Palmdale,CA,1554347001
490999d8-34c9-4651-9cd8-d975f2e50a8e,Marcy,Montgomery,AL,1554347001
f57c7731-8963-4e2f-a12b-3caa42bd4418,Jana,Las Vegas,NV,1554347001
ab94361a-234a-456a-8c77-3f89949c75cd,Rowland,Atlanta,GA,1554347001
b1e55ea6-0ba2-4522-fdaa-b43fe8e6c3cc,Clemons,Bonita Springs,FL,1554347001
45738aa4-798f-44dd-f768-95bca6d4e389,Briar Crest,Saint Louis,MO,1554347001
f19a82b6-86ca-4689-d519-7460fa3fb6f0,Anniversary,Memphis,TN,1554347001
ee8607cf-8d84-46a0-8b9f-e3f6955cf67b,Corscot,Fort Myers,FL,1554347001
b072fc99-4af7-414d-906e-ac1efcac9453,Messerschmidt,Schenectady,NY,1554347001
4ca15864-917c-42a3-eebd-33c052d02b93,Hayes,Schenectady,NY,1554347001
9f7dfeb1-fa68-46ba-9a47-f4389c89ff2d,Victoria,El Paso,TX,1554347001
ad6e3e15-b2eb-4b67-9abc-8cbffd46334d,Wayridge,New York City,NY,1554347001
05da5866-93ca-4412-94a8-ef58ac3952a2,Rigney,Knoxville,TN,1554347001
59ec6c68-33f0-435a-bca8-04404c5c2d65,David,Washington,DC,1554347001
41b9d256-cafa-4e27-b349-52b4fb32666b,Kinsman,New York City,NY,1554347001
1f686c71-fc14-416e-f624-0f0726982b5d,Graceland,Dallas,TX,1554347001
d1583f50-e777-4486-c0f5-71530f73b407,Russell,El Paso,TX,1554347001
2896b964-45cc-42a0-ac2c-81bb53b73d3b,Hazelcrest,South Bend,IN,1554347001
59312347-f364-4249-b0c6-fd19bed4c694,Meadow Ridge,Shreveport,LA,1554347001
21ef9afe-17d3-4dec-9df0-c293c1436d96,Lakewood Gardens,Bridgeport,CT,1554347001
8fb816a9-d949-41c1-9272-b4fe879c823c,Nevada,Saint Louis,MO,1554347001
1dfef327-68c1-4a0a-9708-4545f4ab18af,Pennsylvania,Irvine,CA,1554347001
be5f70a8-7656-41fb-990b-9d784d9366a0,Thierer,Lansing,MI,1554347001
8bf1799f-c827-4bbd-92e4-52e77ea1398e,Waxwing,Houston,TX,1554347001
015a0cfe-97bf-4ea7-8cd9-8d05a8983978,Mcbride,Los Angeles,CA,1554347001
6a6d5447-4610-4910-9f00-c2e955a967c3,Russell,Wilmington,NC,1554347001
0e762e25-8353-4ddf-a170-7c1062beb928,Lighthouse Bay,Oklahoma City,OK,1554347001
57a18570-45be-4439-ac4b-94102bd66381,Anthes,Washington,DC,1554347001
3dc8e866-41a5-487e-f32e-1ef1bd901ac9,Buhler,Shawnee Mission,KS,1554347001
8adac710-4a63-4904-d181-0574f58e5ab4,Dwight,Las Vegas,NV,1554347001
b93bd6e7-a579-4100-892a-3313e379ca41,Daystar,Fort Worth,TX,1554347001
9f42b60c-0e04-45aa-9a3a-6250414f42eb,Fallview,Chicago,IL,1554347001
d5ea06db-9e82-4a8c-ab1f-a4c6c4e8ddf7,Lindbergh,Washington,DC,1554347001
e8231a23-481a-4597-83fe-d1a77f49351e,Hayes,Philadelphia,PA,1554347001
1ff11407-3d95-483d-810e-850bae044161,Killdeer,Chicago,IL,1554347001
73064468-234a-456a-cc77-3f89949c75cd,Pennsylvania,Boise,ID,1554347001
fd5bb7b1-5bd1-438f-d887-a49d912a775a,Rusk,El Paso,TX,1554347001
7b0eea95-e04d-4fb6-ee6a-d1e8d96647fd,Old Shore,Oakland,CA,1554347001
d146dc72-2279-44a1-ea1e-c6a1ee53b008,North,San Diego,CA,1554347001
ba237618-2bde-4c76-bf27-45bc654f7c3b,Delladonna,Saint Louis,MO,1554347001
444219f8-234a-456a-8c77-3f89949c75cd,Scoville,Miami,FL,1554347001
995f6d94-d6ea-4786-f20f-6ae78e5a9309,Tennyson,Frankfort,KY,1554347001
f447f200-89b7-40e6-c116-5036258e5407,Raven,Montgomery,AL,1554347001
fc7fa69d-3107-4d23-8366-315066a6a4af,Nova,Fort Smith,AR,1554347001
5c7368db-c623-4af0-97db-c06953d85855,Rieder,Amarillo,TX,1554347001
16d6bf28-55a3-42c1-8fe9-ef0796776afb,Florence,Washington,DC,1554347001
5f9e2aac-6f96-4fd2-edb3-927b0b56c462,Daystar,Seattle,WA,1554347001
bd56b3b5-9fcf-486c-9c43-bd65964819d7,Jana,Pittsburgh,PA,1554347001
58d3fe17-0e8b-44b8-b375-0eb463a30537,Everett,Norfolk,VA,1554347001
4f856969-10c4-48aa-9489-df412ad08624,Grover,Pittsburgh,PA,1554347001
a8848bf9-f5ac-45db-8900-f029044806c6,Redwing,Fort Worth,TX,1554347001
106aa866-d695-41ce-94ff-54ca3ae890d4,Monica,Cincinnati,OH,1554347001
aa3f64ed-5647-488e-b4f8-d20da0d1beb8,Homewood,New York City,NY,1554347001
04500758-885e-43a5-aa4c-773f89949c75,Shoshone,West Hartford,CT,1554347001
f22cfbb8-3e59-48f2-b5f9-bd1ad720ba08,Eggendart,Plano,TX,1554347001
fe445303-f3bf-4bd5-ba91-8e2dcb642351,Scoville,Fredericksburg,VA,1554347001
3662d1e3-bd98-4196-89e4-7671cc1d1ee3,Bellgrove,Kingsport,TN,1554347001
cc871c14-6464-408f-a8af-3d3f7457bfd7,Tomscot,Apache Junction,AZ,1554347001
008cc22c-0cdf-4183-a617-0f2a3772a719,Brown,Tampa,FL,1554347001
7aa7df42-9182-4978-9f46-1336d312b584,Hoffman,Grand Rapids,MI,1554347001
7f2305ab-c630-4bd9-9beb-2a1136d384f6,Armistice,Minneapolis,MN,1554347001
1ce992da-8065-4e9b-dc35-77552c123763,Becker,Wilkes Barre,PA,1554347001
e6404f77-221a-4fac-aebc-7499d2fc534f,Quincy,New Hyde Park,NY,1554347001
96affd43-31c1-46f7-c5f2-b9ff77bab02d,6th,Annapolis,MD,1554347001
5a3ca22c-56b3-44e3-a56a-4c773f89949c,Forest,Boston,MA,1554347001
200a0b48-885e-43a5-aa4c-773f89949c75,Hagan,Tampa,FL,1554347001
19da9603-1f66-4a4c-b73f-89949c75cda0,Victoria,Springfield,MA,1554347001
